State, Alcohol-Impaired Driving Deaths, Occupant Deaths ,Location
AL,3190,8264,"AL
(32.84057234800002, -86.63185738799996)"
AK,222,506,"AK
(64.84507799500005, -147.72205958799998)"
AZ,2912,6481,"AZ
(34.86597351900008, -111.76380664699997)"
AR,1769,4933,"AR
(34.74865032200006, -92.27448966799994)"
CA,10327,23125,"CA
(37.63864210000003, -120.99999644699994)"
CO,1702,3879,"CO
(38.84384342200008, -106.13360911499996)"
CT,1039,1893,"CT
(41.56266070000004, -72.64983977999998)"
DE,427,852,"DE
(39.00883389200004, -75.57773597599999)"
DC,124,175,"DC
(38.89037258400003, -77.03195678499998)"
FL,8476,17862,"FL
(28.932042722000062, -81.92895768899996)"
GA,3699,11355,"GA
(32.839683200000024, -83.62757885599996)"
HI,484,671,"HI
(21.30485232600006, -157.85774798099996)"
ID,712,1883,"ID
(43.68263174800006, -114.36372693399994)"
IL,3866,8138,"IL
(40.48501223300008, -88.99770922699997)"
IN,2210,6292,"IN
(39.766913353000064, -86.14995646699998)"
IA,968,3162,"IA
(42.469401411000035, -93.81648725599996)"
KS,1214,3473,"KS
(38.347742794000055, -98.20077822999997)"
KY,2041,6749,"KY
(37.64597313300004, -84.77496771599994)"
LA,3046,6533,"LA
(31.312663324000027, -92.44567750499994)"
ME,491,1339,"ME
(45.25422910300006, -68.98502586699993)"
MD,1716,3829,"MD
(39.290582950000044, -76.60925984299996)"
MA,1370,2661,"MA
(42.27687400000008, -72.08268726299997)"
MI,2912,7348,"MI
(44.66132238800003, -84.71438555599997)"
MN,1442,3685,"MN
(46.35564896600005, -94.79419983199995)"
MS,2560,6687,"MS
(32.745513440000025, -89.53802722999995)"
MO,3314,8073,"MO
(38.63579147100006, -92.56629944499997)"
MT,932,1890,"MT
(47.06652795700006, -109.42441587999997)"
NE,682,2034,"NE
(41.64104362100005, -99.36571888999998)"
NV,1025,2213,"NV
(39.49324221300003, -117.07183885899997)"
NH,399,919,"NH
(43.65595283500005, -71.50035697299995)"
NJ,1816,4185,"NJ
(40.130570807000026, -74.27368796999997)"
NM,1254,3066,"NM
(34.52088149400004, -106.24057817299996)"
NY,3752,7717,"NY
(42.82700376100007, -75.54396609999998)"
NC,4102,10804,"NC
(35.466220159000045, -79.15924997399998)"
ND,502,1003,"ND
(47.475318609000055, -100.11842789099995)"
OH,3637,8759,"OH
(40.060212455000055, -82.40425667899996)"
OK,2205,5871,"OK
(35.472030747000076, -97.52106835299998)"
OR,1232,3035,"OR
(44.56745049300008, -120.15502935599994)"
PA,4663,10355,"PA
(40.79373362300004, -77.86069690799997)"
RI,308,507,"RI
(41.70828106100004, -71.52246566099996)"
SC,3870,7195,"SC
(33.99882216300006, -81.04536596899999)"
SD,537,1228,"SD
(44.35313004200003, -100.37352915599996)"
TN,3423,9004,"TN
(35.68094072700006, -85.77448666899994)"
TX,13138,25017,"TX
(31.827240467000024, -99.42676785299994)"
UT,469,2059,"UT
(39.36070123200005, -111.58712831499997)"
VT,212,587,"VT
(43.62538389600007, -72.51763667599994)"
VA,2613,6796,"VA
(37.542680705000066, -78.45788932099998)"
WA,1921,3819,"WA
(47.52228790000004, -120.47002813699999)"
WV,1092,2953,"WV
(38.66551127300005, -80.71263755899997)"
WI,2577,5099,"WI
(44.39319064600005, -89.81636640199997)"
WY,506,1282,"WY
(43.23554100600006, -108.10982701399996)"
United States (50 States & DC),119100,277245,
